STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,,PRCP1,months
IN023320100,19-04-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,23,1
IN023320100,20-04-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,20,1
IN023320100,21-04-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,22-04-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,23-04-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,249,1
IN023320100,24-04-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,46,1
IN023320100,25-04-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,97,1
IN023320100,26-04-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,27-04-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,28-04-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,422,1
IN023320100,29-04-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,43,1
IN023320100,30-04-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,01-05-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,571,1
IN023320100,02-05-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,749,1
IN023320100,03-05-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,231,1
IN023320100,04-05-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,05-05-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,376,1
IN023320100,06-05-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,269,1
IN023320100,07-05-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,08-05-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,09-05-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,10-05-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,76,1
IN023320100,11-05-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,46,1
IN023320100,12-05-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,30,1
IN023320100,13-05-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,51,1
IN023320100,14-05-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,15-05-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,112,1
IN023320100,16-05-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,813,1
IN023320100,17-05-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,104,1
IN023320100,18-05-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,1085,1
IN023320100,19-05-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,145,1
IN023320100,20-05-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,20,1
IN023320100,21-05-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,22-05-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,23-05-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,24-05-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,25-05-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,26-05-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,38,1
IN023320100,27-05-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,18,1
IN023320100,28-05-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,29-05-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,30-05-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,31-05-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,51,1
IN023320100,01-06-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,02-06-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,03-06-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,04-06-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,05-06-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,06-06-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,07-06-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,20,1
IN023320100,08-06-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,09-06-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,10-06-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,11-06-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,97,1
IN023320100,12-06-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,140,1
IN023320100,13-06-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,14-06-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,33,1
IN023320100,15-06-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,249,1
IN023320100,16-06-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,53,1
IN023320100,17-06-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
